model,family,acc,f1
KNN+count,ML,0.5019,0.4971
KNN+tfidf,ML,0.5795,0.5796
DT+tfidf,ML,0.6058,0.6044
DT+count,ML,0.6164,0.6138
MNB+count,ML,0.65,0.6389
RF+tfidf,ML,0.679,0.6784
RF+count,ML,0.6851,0.6848
MNB+tfidf,ML,0.6881,0.6871
SVM+count,ML,0.7006,0.7018
SGD+count,ML,0.7063,0.7074
LR+count,ML,0.7112,0.7123
SVM+tfidf,ML,0.714,0.7153
SGD+tfidf,ML,0.7194,0.7201
Conv1D-BiLSTM,DL,0.7215,0.7234
LR+tfidf,ML,0.722,0.7228
DistilBERT,Transformer,0.8304,0.8306
BERT,Transformer,0.8471,0.8476
RoBERTa,Transformer,0.8716,0.8723
